current_stage,stage_index,state,paf_count,area,open_litigations,resolved_litigations,compensation_pct,rehabilitation_progress_pct,days_in_current_stage,prior_stage_avg_days,stage_overrun_ratio,observed_elapsed_days,delay_label,delay_days,remaining_delay_days,started_day
3D,2,Karnataka,26,4.5,1,0,62.5,44.7,45,56.7,0.375,158,0,87,199,1459
3E,5,Rajasthan,525,203.9,0,3,80.6,73.6,59,97.3,1.311,545,0,168,87,1459
3C,1,Maharashtra,89,52.8,1,0,81.0,70.0,26,83.1,0.289,109,0,0,38,1459
3D,2,Karnataka,43,40.9,1,0,78.1,78.3,83,93.7,0.692,270,0,42,42,1458
3D,2,Andhra Pradesh,178,121.3,0,0,72.3,77.2,149,67.8,1.242,285,0,41,26,1458
3A,0,Maharashtra,47,10.3,2,2,70.9,73.3,6,59.5,0.1,66,0,24,19,1457
3H,4,Rajasthan,34,19.7,0,0,29.1,30.8,35,35.4,0.583,177,1,840,1083,1456
3C,1,Tamil Nadu,57,14.1,2,0,70.1,51.4,41,70.4,0.456,111,0,38,76,1455
3D,2,Uttar Pradesh,139,68.3,0,0,67.5,54.2,35,46.5,0.292,128,0,16,158,1455
3A,0,Gujarat,205,87.0,1,1,51.9,28.3,26,20.7,0.433,47,1,51,64,1455
3H,4,Uttar Pradesh,115,45.0,1,0,50.7,25.4,64,22.7,1.067,155,0,93,358,1454
3C,1,Tamil Nadu,481,179.3,0,0,94.1,45.5,44,61.6,0.489,106,0,0,34,1454
3G,3,Andhra Pradesh,190,30.6,2,0,76.7,65.0,233,73.6,2.589,454,0,158,65,1454
3D,2,Uttar Pradesh,409,206.8,0,2,53.6,45.0,49,44.8,0.408,139,0,57,189,1453
3C,1,Madhya Pradesh,143,34.1,1,0,73.7,66.1,71,71.0,0.789,142,0,27,35,1453
3G,3,Karnataka,104,73.4,2,0,88.4,75.6,112,88.7,1.244,378,0,71,53,1452
3H,4,Uttar Pradesh,101,69.7,0,0,79.3,70.3,188,21.8,3.133,275,0,0,120,1452
3H,4,Tamil Nadu,124,32.9,1,0,55.0,38.9,45,47.3,0.75,234,0,74,259,1451
3G,3,Madhya Pradesh,216,92.6,2,2,50.0,32.4,187,37.7,2.078,300,1,489,549,1451
3D,2,Uttar Pradesh,56,34.8,0,1,62.7,52.1,15,82.6,0.125,180,0,58,148,1450
3C,1,Maharashtra,43,3.0,2,2,52.5,50.8,60,109.3,0.667,169,0,65,46,1449
3E,5,Andhra Pradesh,171,120.3,1,0,83.4,64.4,183,34.6,4.067,356,0,85,194,1449
3H,4,Madhya Pradesh,73,56.2,3,0,70.4,59.0,260,78.2,4.333,573,1,369,216,1449
3G,3,Rajasthan,212,33.7,0,0,63.3,52.2,57,42.9,0.633,186,0,0,166,1449
3G,3,Rajasthan,58,28.4,0,1,82.7,76.0,125,41.8,1.389,250,0,0,90,1448
3H,4,Madhya Pradesh,386,86.3,1,0,38.2,31.6,148,10.6,2.467,190,1,423,652,1447
3E,5,Andhra Pradesh,598,148.7,2,0,33.5,24.5,61,33.8,1.356,230,1,749,984,1447
3C,1,Uttar Pradesh,372,124.7,0,0,54.5,44.0,25,76.3,0.278,101,0,42,90,1447
3D,2,Tamil Nadu,129,69.8,2,2,63.3,52.3,89,117.4,0.742,324,0,84,31,1447
3D,2,Andhra Pradesh,1524,425.7,1,0,53.1,42.9,31,49.7,0.258,130,0,113,252,1447
3G,3,Gujarat,429,45.3,1,1,25.2,28.4,62,33.6,0.689,163,1,275,473,1446
3H,4,Gujarat,114,16.9,2,0,35.8,57.2,114,76.6,1.9,421,1,419,418,1446
3C,1,Maharashtra,369,39.2,0,0,50.0,45.9,13,30.0,0.144,43,0,8,115,1446
3C,1,Madhya Pradesh,136,74.8,0,0,44.6,70.2,95,51.3,1.056,146,1,91,95,1445
3H,4,Rajasthan,500,125.7,4,0,35.6,39.4,19,73.4,0.317,312,1,419,527,1445
3D,2,Tamil Nadu,68,19.5,0,0,34.2,46.0,59,15.2,0.492,89,0,50,231,1445
3D,2,Gujarat,171,100.6,1,2,37.9,30.6,85,37.9,0.708,161,1,185,294,1445
3D,2,Madhya Pradesh,79,45.0,0,0,62.5,62.5,47,46.2,0.392,139,0,26,157,1445
3G,3,Karnataka,46,36.3,1,0,57.5,51.9,176,54.0,1.956,338,1,280,302,1444
3G,3,Karnataka,126,30.0,2,1,42.5,36.1,20,79.3,0.222,258,1,339,442,1444
3E,5,Tamil Nadu,167,55.0,1,0,39.4,41.2,106,14.1,2.356,176,1,289,578,1444
3C,1,Madhya Pradesh,40,35.9,3,0,34.5,63.8,82,80.7,0.911,163,1,285,272,1444
3E,5,Gujarat,18,16.4,0,0,67.0,49.4,175,28.1,3.889,316,0,21,171,1443
3A,0,Tamil Nadu,159,54.1,0,1,46.3,43.3,1,22.1,0.017,23,0,10,47,1443
3H,4,Rajasthan,52,3.0,0,1,83.1,68.0,230,39.2,3.833,387,0,85,118,1443
3G,3,Madhya Pradesh,64,3.0,0,0,95.6,72.0,96,81.4,1.067,340,0,41,61,1443
3D,2,Rajasthan,129,56.7,1,1,39.3,16.9,57,36.2,0.475,129,1,203,344,1442
3C,1,Gujarat,245,161.8,1,1,69.2,81.2,125,25.3,1.389,150,0,25,25,1442
3E,5,Gujarat,198,102.3,1,1,44.4,42.8,181,53.2,4.022,447,1,405,423,1442
3H,4,Tamil Nadu,155,65.5,2,1,69.0,50.1,346,47.0,5.767,534,0,161,47,1441
3D,2,Tamil Nadu,125,60.7,0,2,68.6,52.8,34,111.1,0.283,256,0,90,104,1441
3H,4,Rajasthan,208,45.2,2,0,51.2,33.7,100,26.7,1.667,207,1,542,755,1441
3G,3,Gujarat,259,126.1,0,1,44.6,18.5,38,45.4,0.422,174,0,165,351,1440
3C,1,Andhra Pradesh,75,3.0,2,1,36.5,41.8,39,59.9,0.433,99,1,97,148,1440
3A,0,Tamil Nadu,106,39.4,0,1,81.9,66.5,14,25.7,0.233,40,0,0,19,1440
3G,3,Rajasthan,144,53.0,0,0,86.6,58.4,104,61.2,1.156,288,0,0,70,1439
3D,2,Gujarat,149,60.7,2,0,69.0,55.2,219,48.8,1.825,317,1,199,153,1439
3C,1,Madhya Pradesh,206,67.9,2,0,44.5,41.3,26,90.6,0.289,117,1,150,184,1439
3H,4,Karnataka,165,74.2,1,0,77.2,72.7,92,61.3,1.533,337,0,82,164,1438
3C,1,Uttar Pradesh,79,29.8,0,1,74.0,44.2,19,79.9,0.211,99,0,27,78,1437
3D,2,Rajasthan,50,11.0,0,1,59.3,57.0,60,41.1,0.5,142,0,31,158,1437
3C,1,Karnataka,140,38.4,0,0,54.0,48.1,7,71.8,0.078,79,0,43,114,1437
3E,5,Karnataka,60,59.1,1,1,74.6,77.5,207,65.7,4.6,535,1,241,170,1436
3G,3,Andhra Pradesh,159,60.2,0,0,69.1,30.3,99,41.4,1.1,223,0,72,209,1435
3D,2,Maharashtra,47,35.6,0,0,63.6,36.0,54,22.9,0.45,100,0,1,171,1435
3G,3,Andhra Pradesh,130,47.3,0,0,58.9,44.4,61,46.0,0.678,199,0,69,230,1435
3A,0,Madhya Pradesh,495,160.5,2,0,41.3,38.3,21,14.8,0.35,36,1,76,100,1433
3D,2,Madhya Pradesh,47,18.2,0,0,45.0,36.0,14,30.6,0.117,75,0,8,203,1433
3D,2,Tamil Nadu,128,29.5,1,0,76.1,48.4,172,49.5,1.433,271,0,98,97,1433
3C,1,Maharashtra,631,408.9,1,0,40.4,54.2,80,82.0,0.889,162,1,321,309,1432
3E,5,Karnataka,34,13.4,0,0,56.0,53.0,46,32.2,1.022,207,0,14,272,1432
3C,1,Tamil Nadu,295,64.9,0,0,58.3,41.5,30,41.4,0.333,71,0,43,121,1431
3G,3,Uttar Pradesh,92,50.6,0,1,56.5,31.4,16,34.3,0.178,119,0,95,336,1431
3H,4,Karnataka,218,87.2,1,0,46.1,49.5,66,72.7,1.1,357,1,225,288,1431
3G,3,Maharashtra,227,115.5,1,1,51.5,43.8,70,39.1,0.778,187,0,63,236,1431
3H,4,Rajasthan,224,43.5,0,2,76.5,72.1,170,45.6,2.833,352,0,19,87,1430
3A,0,Madhya Pradesh,264,80.4,0,0,53.2,34.4,11,5.7,0.183,17,0,2,45,1430
3A,0,Tamil Nadu,43,27.1,0,1,58.8,52.5,15,8.8,0.25,24,0,4,40,1430
3D,2,Madhya Pradesh,272,109.4,0,0,43.5,23.9,33,83.6,0.275,200,1,612,682,1430
3D,2,Uttar Pradesh,366,144.0,0,0,27.5,27.4,65,25.2,0.542,115,1,460,614,1430
3C,1,Karnataka,168,101.3,1,2,74.9,77.4,75,64.3,0.833,139,0,17,28,1429
3C,1,Madhya Pradesh,95,36.8,1,0,51.8,61.5,46,44.1,0.511,90,0,31,91,1428
3E,5,Karnataka,200,81.7,1,1,36.6,29.1,112,15.4,2.489,189,0,189,465,1428
3A,0,Karnataka,577,215.9,2,0,25.6,28.1,12,20.9,0.2,33,1,121,148,1428
3C,1,Karnataka,229,74.7,1,0,75.9,34.0,34,163.5,0.378,198,1,98,50,1428
3G,3,Rajasthan,132,45.1,3,0,73.2,66.3,210,90.0,2.333,480,1,287,167,1428
3A,0,Andhra Pradesh,1095,553.3,0,1,56.8,66.5,32,24.0,0.533,56,0,8,12,1427
3H,4,Rajasthan,107,79.6,1,0,55.3,39.4,110,27.0,1.833,218,0,101,303,1427
3H,4,Madhya Pradesh,33,24.4,0,0,81.8,94.6,225,27.0,3.75,333,0,31,118,1427
